epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.657,2.22455,2.34248,1.4742,0.32513,0.30377,0.23482,0.08289,2.27639,1.97392,1.47088,0.000332485,0.000332485,0.067084
2,383.399,2.04685,1.75538,1.3933,0.49276,0.41079,0.42044,0.18002,1.92323,1.45165,1.3067,0.000665656,0.000665656,0.0340838
3,561.892,2.00244,1.64987,1.38069,0.41976,0.47167,0.43971,0.18987,1.94573,1.41028,1.29073,0.000998176,0.000998176,0.00108299
4,738.925,1.95505,1.56437,1.35773,0.38241,0.42191,0.40213,0.18989,1.78687,1.46752,1.25457,0.000997803,0.000997803,0.000997803
5,915.59,1.93791,1.51884,1.33959,0.4622,0.52316,0.49489,0.2354,1.78272,1.30943,1.23124,0.000996097,0.000996097,0.000996097
6,1089.88,1.90538,1.48815,1.32606,0.44132,0.52662,0.49192,0.24414,1.72474,1.28776,1.20501,0.000993906,0.000993906,0.000993906
7,1263.66,1.89389,1.458,1.31172,0.48858,0.54277,0.52776,0.26525,1.68736,1.20941,1.18673,0.000991232,0.000991232,0.000991232
8,1439.01,1.86746,1.4335,1.30885,0.49987,0.5171,0.53556,0.26708,1.68253,1.19257,1.18288,0.000988079,0.000988079,0.000988079
9,1615.86,1.85269,1.40615,1.2971,0.50247,0.5289,0.5252,0.26244,1.70106,1.20546,1.20039,0.000984449,0.000984449,0.000984449
10,1792.56,1.84489,1.38319,1.29046,0.52735,0.51329,0.53101,0.27262,1.68031,1.19694,1.20272,0.000980345,0.000980345,0.000980345
11,1967.47,1.82261,1.36422,1.28331,0.54135,0.55532,0.56237,0.28371,1.6694,1.15135,1.17062,0.000975773,0.000975773,0.000975773
12,2143.01,1.80356,1.34507,1.26945,0.54199,0.56017,0.56193,0.28618,1.6616,1.14985,1.17108,0.000970736,0.000970736,0.000970736
13,2317.75,1.76584,1.31722,1.24937,0.57696,0.57956,0.58384,0.30663,1.60217,1.10062,1.14873,0.000965239,0.000965239,0.000965239
14,2492.74,1.75881,1.30295,1.25002,0.54263,0.56049,0.57754,0.30653,1.6094,1.094,1.13928,0.000959289,0.000959289,0.000959289
15,2666.72,1.73754,1.28098,1.23338,0.57159,0.57639,0.58666,0.31201,1.54314,1.07131,1.1261,0.000952889,0.000952889,0.000952889
16,2843.0,1.72995,1.27782,1.23954,0.55228,0.55307,0.5678,0.30379,1.54558,1.07887,1.11898,0.000946048,0.000946048,0.000946048
17,3020.31,1.71679,1.26395,1.2304,0.55555,0.54795,0.56585,0.29922,1.64664,1.1194,1.15238,0.000938772,0.000938772,0.000938772
18,3196.78,1.70297,1.24206,1.2294,0.62519,0.55699,0.59366,0.31835,1.58984,1.07665,1.12976,0.000931067,0.000931067,0.000931067
19,3371.09,1.68746,1.22885,1.21928,0.58597,0.60167,0.61531,0.32795,1.54783,1.01047,1.11196,0.000922942,0.000922942,0.000922942
20,3547.32,1.67797,1.21433,1.21293,0.57906,0.60464,0.61917,0.34085,1.49261,0.99572,1.10594,0.000914405,0.000914405,0.000914405
21,3723.7,1.66174,1.20258,1.20534,0.58703,0.58822,0.61652,0.34427,1.46096,0.99845,1.09515,0.000905463,0.000905463,0.000905463
22,3900.68,1.65468,1.18386,1.20312,0.60377,0.61025,0.63475,0.35387,1.4751,0.96916,1.08499,0.000896127,0.000896127,0.000896127
