epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,233.679,1.05066,0.70137,0.96025,0.89456,0.84266,0.90725,0.58001,1.11952,0.57241,0.93859,9.55951e-05,9.55951e-05,9.55951e-05
83,441.255,1.02771,0.68482,0.95407,0.90255,0.83952,0.90783,0.58059,1.11723,0.57287,0.9372,8.70577e-05,8.70577e-05,8.70577e-05
84,649.861,1.03399,0.69272,0.95443,0.89861,0.84151,0.90812,0.58025,1.11446,0.57042,0.93561,7.89327e-05,7.89327e-05,7.89327e-05
85,856.858,1.03084,0.68801,0.95209,0.90432,0.84055,0.90863,0.58215,1.10741,0.56968,0.93322,7.12282e-05,7.12282e-05,7.12282e-05
86,1056.25,0.8437,0.5455,0.88799,0.89977,0.83866,0.90872,0.58214,1.11091,0.57106,0.93411,6.39518e-05,6.39518e-05,6.39518e-05
87,1254.38,0.82495,0.53083,0.8822,0.89643,0.84301,0.90804,0.58503,1.09945,0.569,0.93064,5.71106e-05,5.71106e-05,5.71106e-05
88,1451.14,0.82676,0.52849,0.88001,0.89454,0.84394,0.90823,0.58641,1.09418,0.56699,0.92874,5.07115e-05,5.07115e-05,5.07115e-05
89,1648.89,0.81559,0.51905,0.87451,0.89416,0.84638,0.9084,0.58716,1.08859,0.56513,0.92677,4.47606e-05,4.47606e-05,4.47606e-05
90,1843.49,0.81414,0.52166,0.87812,0.89486,0.84442,0.90929,0.59049,1.07743,0.56217,0.92236,3.9264e-05,3.9264e-05,3.9264e-05
91,2040.28,0.81108,0.51748,0.87877,0.89685,0.84646,0.91041,0.59125,1.07471,0.56048,0.92239,3.4227e-05,3.4227e-05,3.4227e-05
92,2235.61,0.80519,0.51669,0.87675,0.89675,0.84803,0.91045,0.59213,1.07522,0.56022,0.92312,2.96546e-05,2.96546e-05,2.96546e-05
93,2432.78,0.80651,0.51694,0.87443,0.89226,0.85317,0.91118,0.59415,1.07177,0.55811,0.92182,2.55513e-05,2.55513e-05,2.55513e-05
94,2629.65,0.80466,0.51114,0.87467,0.8957,0.84947,0.91081,0.5939,1.0699,0.55688,0.92128,2.19212e-05,2.19212e-05,2.19212e-05
95,2824.75,0.80623,0.51462,0.87343,0.89508,0.84852,0.91076,0.59475,1.06796,0.55603,0.92093,1.87678e-05,1.87678e-05,1.87678e-05
96,3019.58,0.79722,0.50684,0.87034,0.89518,0.84891,0.91067,0.59566,1.06781,0.55627,0.92097,1.60943e-05,1.60943e-05,1.60943e-05
97,3214.65,0.80442,0.517,0.87529,0.8931,0.85148,0.9104,0.59703,1.06606,0.55645,0.92035,1.39032e-05,1.39032e-05,1.39032e-05
98,3411.48,0.79843,0.51177,0.87245,0.89312,0.851,0.91049,0.59727,1.06301,0.55614,0.91964,1.21968e-05,1.21968e-05,1.21968e-05
99,3608.44,0.7926,0.50481,0.87197,0.893,0.85279,0.91153,0.59775,1.06392,0.55594,0.91966,1.09768e-05,1.09768e-05,1.09768e-05
100,3805.12,0.79517,0.50826,0.87316,0.89157,0.85339,0.91144,0.59666,1.06499,0.55605,0.92033,1.02443e-05,1.02443e-05,1.02443e-05
