epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/feat_kd_loss,train/logit_kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/feat_kd_loss,val/logit_kd_loss,lr/pg0,lr/pg1,lr/pg2
1,292.73,2.20149,2.22751,1.47905,0.00039,0.58405,0.282244,0.338902,0.309577,0.125013,0,0,0,0,0,0.000332909,0.000332909,0.067042
2,567.309,2.04146,1.74745,1.39595,0.00026,0.44121,0.388818,0.444941,0.411087,0.178003,0,0,0,0,0,0.00066608,0.00066608,0.0340418
3,841.131,1.9928,1.64394,1.37296,0.0002,0.39161,0.406007,0.467906,0.435437,0.20003,0,0,0,0,0,0.0009986,0.0009986,0.00104101
4,1113.87,1.95583,1.58115,1.35617,0.00019,0.37139,0.431819,0.495563,0.486796,0.230203,0,0,0,0,0,0.000997803,0.000997803,0.000997803
5,1387.02,1.93821,1.54006,1.3428,0.00017,0.36449,0.437831,0.504838,0.491741,0.234566,0,0,0,0,0,0.000996097,0.000996097,0.000996097
6,1660.24,1.91082,1.49662,1.32782,0.00017,0.35424,0.406754,0.49757,0.482118,0.237219,0,0,0,0,0,0.000993906,0.000993906,0.000993906
7,1931.31,1.88476,1.45545,1.30881,0.00016,0.34725,0.486689,0.539064,0.520803,0.267696,0,0,0,0,0,0.000991232,0.000991232,0.000991232
8,2202.97,1.87178,1.44668,1.30166,0.00016,0.3416,0.508096,0.557264,0.536122,0.271442,0,0,0,0,0,0.000988079,0.000988079,0.000988079
9,2475.5,1.85571,1.41297,1.29477,0.00016,0.33531,0.500202,0.563542,0.544987,0.283036,0,0,0,0,0,0.000984449,0.000984449,0.000984449
10,2746.99,1.83953,1.398,1.28931,0.00016,0.33227,0.514898,0.553057,0.556751,0.281502,0,0,0,0,0,0.000980345,0.000980345,0.000980345
11,3020.49,1.81664,1.36419,1.27807,0.00015,0.32751,0.530521,0.56519,0.56011,0.291748,0,0,0,0,0,0.000975773,0.000975773,0.000975773
12,3294.5,1.80238,1.3538,1.26632,0.00015,0.32221,0.530448,0.55768,0.554132,0.294359,0,0,0,0,0,0.000970736,0.000970736,0.000970736
13,3567.1,1.78872,1.33584,1.26228,0.00015,0.32086,0.539483,0.572427,0.570704,0.301296,0,0,0,0,0,0.000965239,0.000965239,0.000965239
14,3839.63,1.76907,1.3093,1.25141,0.00015,0.31794,0.518137,0.573639,0.562929,0.300833,0,0,0,0,0,0.000959289,0.000959289,0.000959289
