epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.125,2.08696,1.85994,1.43623,0.4491,0.42683,0.39717,0.1791,1.87545,1.60302,1.31286,0.000332485,0.000332485,0.067084
2,367.987,1.95234,1.53676,1.35913,0.42165,0.47198,0.43741,0.21223,1.78422,1.48902,1.27563,0.000665656,0.000665656,0.0340838
3,538.429,1.92717,1.48583,1.35223,0.43948,0.53226,0.49673,0.23546,1.7767,1.33033,1.24458,0.000998176,0.000998176,0.00108299
4,708.689,1.8771,1.41797,1.32141,0.52498,0.51525,0.52966,0.26255,1.71935,1.2304,1.20876,0.000997803,0.000997803,0.000997803
5,878.4,1.85197,1.37569,1.30483,0.51549,0.59799,0.54864,0.26434,1.71245,1.20321,1.20105,0.000996097,0.000996097,0.000996097
6,1048.28,1.81859,1.34534,1.29005,0.54163,0.56452,0.55074,0.27715,1.65874,1.14619,1.191,0.000993906,0.000993906,0.000993906
7,1217.67,1.79863,1.31847,1.2751,0.5488,0.58205,0.57279,0.29637,1.6029,1.10554,1.18611,0.000991232,0.000991232,0.000991232
8,1387.73,1.75801,1.28432,1.2631,0.56454,0.5836,0.59083,0.31362,1.56401,1.07214,1.14778,0.000988079,0.000988079,0.000988079
9,1559.53,1.7306,1.25609,1.24751,0.55696,0.59047,0.57726,0.28977,1.696,1.1093,1.1912,0.000984449,0.000984449,0.000984449
10,1729.6,1.71578,1.22233,1.24039,0.56785,0.60874,0.60832,0.32833,1.53085,1.04704,1.12822,0.000980345,0.000980345,0.000980345
11,1898.87,1.68464,1.20807,1.22512,0.57714,0.60354,0.60841,0.32429,1.5765,1.0505,1.13094,0.000975773,0.000975773,0.000975773
12,2071.38,1.67048,1.19208,1.21766,0.62046,0.60463,0.63524,0.33543,1.58607,1.02816,1.1384,0.000970736,0.000970736,0.000970736
13,2243.47,1.64134,1.16272,1.19973,0.61491,0.64021,0.65623,0.36184,1.45484,0.94035,1.0858,0.000965239,0.000965239,0.000965239
14,2417.24,1.61594,1.13698,1.19245,0.61206,0.61768,0.63701,0.33861,1.53152,0.99174,1.12961,0.000959289,0.000959289,0.000959289
15,2589.26,1.61039,1.12756,1.18345,0.65326,0.64167,0.67285,0.37509,1.44144,0.94401,1.08067,0.000952889,0.000952889,0.000952889
16,2760.2,1.59405,1.12041,1.18312,0.6425,0.64286,0.67693,0.37894,1.43268,0.92336,1.07984,0.000946048,0.000946048,0.000946048
17,2929.51,1.58949,1.10659,1.17639,0.63771,0.64578,0.68255,0.39212,1.37764,0.90284,1.05878,0.000938772,0.000938772,0.000938772
18,3098.95,1.56367,1.08021,1.17093,0.64051,0.66296,0.69109,0.39863,1.34729,0.86856,1.05135,0.000931067,0.000931067,0.000931067
19,3268.08,1.54703,1.06524,1.15946,0.66987,0.64642,0.69808,0.40423,1.3542,0.86212,1.04963,0.000922942,0.000922942,0.000922942
20,3440.04,1.52634,1.04306,1.14856,0.6827,0.66864,0.71255,0.42105,1.32663,0.8393,1.0417,0.000914405,0.000914405,0.000914405
21,3611.08,1.51135,1.02914,1.14345,0.69325,0.64277,0.70513,0.41289,1.3361,0.83886,1.04062,0.000905463,0.000905463,0.000905463
22,3782.74,1.49776,1.01203,1.13904,0.70821,0.66862,0.72515,0.4293,1.29886,0.81083,1.02809,0.000896127,0.000896127,0.000896127
23,3952.0,1.48563,1.00604,1.13441,0.68638,0.69003,0.73936,0.43672,1.31814,0.79655,1.02877,0.000886404,0.000886404,0.000886404
24,4123.07,1.48194,0.99617,1.12547,0.71819,0.69877,0.7446,0.45326,1.2675,0.7766,1.01483,0.000876305,0.000876305,0.000876305
25,4294.34,1.47317,0.9897,1.12945,0.70277,0.67763,0.73294,0.43949,1.26361,0.78831,1.01227,0.000865839,0.000865839,0.000865839
26,4465.67,1.45661,0.97319,1.11884,0.7312,0.68656,0.75418,0.45259,1.2636,0.77983,1.01074,0.000855018,0.000855018,0.000855018
27,4637.08,1.45395,0.97046,1.11777,0.74556,0.68968,0.76198,0.46912,1.22186,0.75936,0.99682,0.000843851,0.000843851,0.000843851
28,4808.12,1.43629,0.95484,1.11076,0.73388,0.7112,0.77018,0.47832,1.21186,0.73541,0.99417,0.000832349,0.000832349,0.000832349
29,4980.04,1.41781,0.94339,1.10216,0.73503,0.70912,0.76093,0.46345,1.22626,0.74787,0.99317,0.000820525,0.000820525,0.000820525
30,5151.37,1.40532,0.93,1.09995,0.75753,0.70074,0.77457,0.47801,1.22054,0.73048,0.99485,0.000808389,0.000808389,0.000808389
31,5324.92,1.40422,0.92744,1.09459,0.74294,0.71392,0.78088,0.48467,1.20798,0.71761,0.98322,0.000795954,0.000795954,0.000795954
32,5493.77,1.37871,0.90953,1.08374,0.75317,0.70985,0.78331,0.48278,1.17368,0.71514,0.97735,0.000783231,0.000783231,0.000783231
33,5663.7,1.39585,0.9135,1.09046,0.76127,0.7164,0.78631,0.48783,1.21428,0.71094,0.98338,0.000770234,0.000770234,0.000770234
34,5833.31,1.36375,0.89095,1.07602,0.77619,0.72996,0.79886,0.49954,1.18098,0.6925,0.9702,0.000756976,0.000756976,0.000756976
35,6003.47,1.36786,0.88613,1.0761,0.79155,0.72092,0.80026,0.50775,1.13736,0.67559,0.95897,0.000743468,0.000743468,0.000743468
36,6172.37,1.33895,0.86431,1.06595,0.76688,0.73454,0.80255,0.50288,1.14176,0.68244,0.96109,0.000729725,0.000729725,0.000729725
37,6345.23,1.34445,0.87361,1.07244,0.76277,0.74779,0.81256,0.51654,1.13633,0.67173,0.95651,0.000715761,0.000715761,0.000715761
38,6515.29,1.34116,0.86627,1.06776,0.7963,0.73337,0.81269,0.52148,1.10763,0.65197,0.95267,0.000701588,0.000701588,0.000701588
39,6684.51,1.32363,0.84733,1.05616,0.8039,0.75409,0.82807,0.53776,1.0912,0.63451,0.94422,0.000687222,0.000687222,0.000687222
40,6855.48,1.32244,0.84863,1.05921,0.80939,0.75518,0.83425,0.5401,1.09499,0.63808,0.94382,0.000672675,0.000672675,0.000672675
41,7025.27,1.29506,0.83481,1.05089,0.81225,0.76542,0.83982,0.54594,1.0991,0.62912,0.94272,0.000657963,0.000657963,0.000657963
42,7195.54,1.28981,0.82179,1.0481,0.8134,0.7666,0.84049,0.54739,1.08057,0.62046,0.93816,0.000643101,0.000643101,0.000643101
43,7366.35,1.28749,0.8145,1.04346,0.82176,0.76419,0.84279,0.55304,1.06262,0.61116,0.93434,0.000628101,0.000628101,0.000628101
44,7536.97,1.28312,0.81632,1.04433,0.83706,0.76058,0.84097,0.54047,1.09953,0.61929,0.94113,0.000612981,0.000612981,0.000612981
45,7707.57,1.27009,0.80831,1.03813,0.82467,0.77013,0.84603,0.55695,1.04091,0.60661,0.92724,0.000597754,0.000597754,0.000597754
