epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.532,2.15663,2.51314,1.50168,0.50964,0.29186,0.28108,0.10493,2.05113,2.58772,1.37768,0.000331641,0.000331641,0.0671675
2,404.984,1.94243,1.73942,1.384,0.40478,0.41827,0.39582,0.16141,1.8755,1.616,1.30344,0.000664812,0.000664812,0.0341674
3,585.013,1.89239,1.63673,1.36125,0.34264,0.39021,0.36207,0.1389,2.0348,1.67103,1.34905,0.000997333,0.000997333,0.00116654
4,763.314,1.84929,1.56603,1.33354,0.47515,0.43182,0.47931,0.22742,1.70486,1.3333,1.19483,0.000997803,0.000997803,0.000997803
5,942.166,1.83247,1.52376,1.32648,0.44184,0.47326,0.47393,0.19347,1.99953,1.38848,1.31941,0.000996097,0.000996097,0.000996097
6,1122.23,1.80074,1.48179,1.31061,0.46909,0.45816,0.48334,0.20471,1.93935,1.33972,1.26988,0.000993906,0.000993906,0.000993906
7,1301.47,1.78565,1.45336,1.29211,0.43704,0.5473,0.49378,0.2249,1.77139,1.35473,1.21447,0.000991232,0.000991232,0.000991232
8,1481.71,1.76301,1.43499,1.28584,0.58124,0.45754,0.48958,0.20834,1.97994,1.35985,1.33282,0.000988079,0.000988079,0.000988079
9,1663.0,1.73556,1.3937,1.27014,0.51535,0.49251,0.51104,0.22145,1.93399,1.32081,1.31027,0.000984449,0.000984449,0.000984449
10,1842.75,1.72812,1.3778,1.26256,0.47923,0.54601,0.52151,0.25595,1.61343,1.20877,1.15875,0.000980345,0.000980345,0.000980345
11,2021.82,1.70828,1.3611,1.24592,0.55105,0.54222,0.55648,0.25974,1.75658,1.1819,1.20262,0.000975773,0.000975773,0.000975773
12,2205.87,1.70597,1.35623,1.24812,0.53343,0.5751,0.54893,0.26434,1.67382,1.16566,1.16569,0.000970736,0.000970736,0.000970736
13,2384.85,1.67806,1.31973,1.23013,0.54175,0.53684,0.56547,0.27754,1.72807,1.15169,1.18353,0.000965239,0.000965239,0.000965239
14,2563.33,1.67631,1.31351,1.22922,0.54442,0.56368,0.5633,0.28602,1.58582,1.10128,1.13416,0.000959289,0.000959289,0.000959289
15,2739.97,1.65522,1.29319,1.21821,0.57333,0.59829,0.59976,0.29131,1.71197,1.14911,1.16688,0.000952889,0.000952889,0.000952889
16,2916.18,1.64873,1.28797,1.22132,0.5434,0.60324,0.60092,0.3042,1.59404,1.07184,1.12194,0.000946048,0.000946048,0.000946048
17,3092.74,1.63985,1.27794,1.21164,0.59107,0.54896,0.58817,0.28919,1.66279,1.12587,1.14763,0.000938772,0.000938772,0.000938772
18,3275.72,1.62534,1.26114,1.20811,0.60149,0.59014,0.60994,0.31132,1.59514,1.08994,1.11817,0.000931067,0.000931067,0.000931067
19,3456.03,1.60921,1.24072,1.19838,0.60764,0.63027,0.62963,0.31892,1.61855,1.04569,1.1188,0.000922942,0.000922942,0.000922942
20,3637.34,1.60699,1.23275,1.1923,0.61118,0.60507,0.63474,0.33007,1.51141,1.01362,1.0923,0.000914405,0.000914405,0.000914405
21,3817.48,1.58648,1.20615,1.18068,0.60544,0.5945,0.62344,0.3266,1.569,1.00631,1.10388,0.000905463,0.000905463,0.000905463
22,3997.0,1.5908,1.21169,1.18173,0.61958,0.58521,0.63045,0.33146,1.50211,1.00813,1.08165,0.000896127,0.000896127,0.000896127
23,4174.77,1.56546,1.19514,1.1759,0.62114,0.6229,0.65501,0.34261,1.54376,1.00296,1.08981,0.000886404,0.000886404,0.000886404
24,4355.17,1.57612,1.19359,1.17048,0.62279,0.64002,0.64717,0.34922,1.49843,0.98798,1.0777,0.000876305,0.000876305,0.000876305
25,4534.85,1.56051,1.18648,1.17478,0.63359,0.62411,0.65429,0.34762,1.49999,0.9804,1.06929,0.000865839,0.000865839,0.000865839
26,4728.14,1.54663,1.16364,1.1617,0.6301,0.62221,0.65715,0.34876,1.50898,0.9743,1.06858,0.000855018,0.000855018,0.000855018
27,4904.94,1.54022,1.1583,1.15585,0.64601,0.637,0.67472,0.36511,1.4637,0.92425,1.0526,0.000843851,0.000843851,0.000843851
28,5084.75,1.53031,1.1474,1.1562,0.64149,0.64395,0.67223,0.35174,1.53453,0.97565,1.07901,0.000832349,0.000832349,0.000832349
29,5264.71,1.52487,1.14261,1.1496,0.65211,0.63716,0.66842,0.35836,1.5218,0.97621,1.06651,0.000820525,0.000820525,0.000820525
30,5445.62,1.50904,1.13194,1.14756,0.68426,0.62596,0.67745,0.3617,1.52965,0.92315,1.07026,0.000808389,0.000808389,0.000808389
31,5626.58,1.51195,1.12365,1.14565,0.69932,0.64081,0.69099,0.3766,1.44874,0.90739,1.04208,0.000795954,0.000795954,0.000795954
32,5802.8,1.49252,1.10889,1.13717,0.65629,0.66405,0.69815,0.3826,1.40031,0.90506,1.03225,0.000783231,0.000783231,0.000783231
33,5978.85,1.50559,1.11331,1.13775,0.6577,0.63634,0.67996,0.38081,1.40903,0.92532,1.02857,0.000770234,0.000770234,0.000770234
34,6156.36,1.48744,1.10029,1.12666,0.67236,0.64896,0.69214,0.394,1.37757,0.87798,1.01579,0.000756976,0.000756976,0.000756976
35,6337.74,1.47857,1.08957,1.12214,0.68541,0.65241,0.70641,0.39449,1.42267,0.87213,1.02488,0.000743468,0.000743468,0.000743468
36,6516.39,1.46664,1.0753,1.11907,0.69916,0.65722,0.71232,0.40075,1.36855,0.8536,1.0135,0.000729725,0.000729725,0.000729725
37,6695.89,1.46395,1.07561,1.1217,0.70093,0.66852,0.71664,0.40694,1.36919,0.86401,1.01223,0.000715761,0.000715761,0.000715761
38,6875.18,1.47108,1.07733,1.1179,0.67732,0.67708,0.71427,0.40616,1.38693,0.85052,1.02461,0.000701588,0.000701588,0.000701588
39,7055.82,1.46565,1.06301,1.11179,0.71214,0.68667,0.73337,0.417,1.33291,0.84361,0.99776,0.000687222,0.000687222,0.000687222
40,7237.34,1.45324,1.06437,1.11086,0.70596,0.67698,0.73297,0.4071,1.41472,0.84137,1.03384,0.000672675,0.000672675,0.000672675
41,7416.55,1.42949,1.04246,1.10785,0.7314,0.67091,0.73603,0.42405,1.32205,0.83284,0.99416,0.000657963,0.000657963,0.000657963
42,7596.62,1.43185,1.03819,1.10506,0.71789,0.68119,0.73319,0.42267,1.33276,0.82413,1.00129,0.000643101,0.000643101,0.000643101
43,7775.21,1.4232,1.02146,1.0984,0.71772,0.69466,0.7447,0.42705,1.33364,0.81326,0.99757,0.000628101,0.000628101,0.000628101
44,7955.65,1.42428,1.03237,1.10126,0.71456,0.67718,0.73375,0.42429,1.32641,0.85323,0.99773,0.000612981,0.000612981,0.000612981
45,8135.53,1.4109,1.01916,1.09091,0.74785,0.70055,0.7647,0.44978,1.29497,0.77437,0.97433,0.000597754,0.000597754,0.000597754
46,8315.12,1.40807,1.01239,1.09104,0.7431,0.69694,0.76284,0.43986,1.34233,0.794,0.99541,0.000582435,0.000582435,0.000582435
