epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.769,2.03573,1.76921,1.46147,0.43969,0.32496,0.3227,0.10386,2.64519,1.78397,1.78083,0.000332485,0.000332485,0.067084
2,508.574,1.94125,1.50782,1.41205,0.44476,0.51093,0.46573,0.21565,1.8208,1.37029,1.36262,0.000665656,0.000665656,0.0340838
3,745.729,1.91664,1.47573,1.40847,0.4223,0.54625,0.49533,0.22643,1.84552,1.33857,1.32401,0.000998176,0.000998176,0.00108299
4,982.02,1.8589,1.39963,1.37597,0.45861,0.54159,0.51234,0.24869,1.7145,1.31697,1.28721,0.000997803,0.000997803,0.000997803
5,1217.86,1.82707,1.35367,1.35483,0.52273,0.58812,0.56215,0.2775,1.64642,1.16748,1.24625,0.000996097,0.000996097,0.000996097
6,1452.92,1.78988,1.31341,1.34127,0.52643,0.57327,0.55924,0.28301,1.59974,1.1884,1.23091,0.000993906,0.000993906,0.000993906
7,1687.43,1.76761,1.27984,1.32332,0.56909,0.60722,0.59977,0.3109,1.59031,1.05964,1.23385,0.000991232,0.000991232,0.000991232
8,1921.99,1.72949,1.25068,1.30855,0.63655,0.57241,0.605,0.31331,1.61379,1.06494,1.21726,0.000988079,0.000988079,0.000988079
9,2156.93,1.703,1.22004,1.29625,0.58297,0.59988,0.59445,0.3029,1.66265,1.08721,1.23874,0.000984449,0.000984449,0.000984449
10,2392.87,1.68676,1.18966,1.28452,0.63831,0.53547,0.58122,0.30288,1.5747,1.10083,1.2164,0.000980345,0.000980345,0.000980345
11,2628.08,1.647,1.16491,1.26478,0.61017,0.58725,0.61484,0.31294,1.73243,1.09758,1.25648,0.000975773,0.000975773,0.000975773
12,2864.67,1.62844,1.14809,1.25495,0.64233,0.63714,0.67165,0.36753,1.51745,0.97136,1.16406,0.000970736,0.000970736,0.000970736
13,3101.06,1.59237,1.11117,1.23188,0.61884,0.63168,0.66587,0.37178,1.42866,0.96355,1.13535,0.000965239,0.000965239,0.000965239
14,3335.29,1.57429,1.09136,1.22612,0.67398,0.63836,0.68883,0.38923,1.44432,0.89814,1.13151,0.000959289,0.000959289,0.000959289
15,3570.79,1.55869,1.07385,1.21267,0.69526,0.63192,0.68701,0.38754,1.41888,0.89011,1.11839,0.000952889,0.000952889,0.000952889
16,3807.11,1.53711,1.0625,1.20872,0.63234,0.63169,0.66338,0.375,1.39851,0.92205,1.11869,0.000946048,0.000946048,0.000946048
17,4042.12,1.52652,1.04511,1.20093,0.69032,0.66047,0.71109,0.42081,1.31601,0.84538,1.08001,0.000938772,0.000938772,0.000938772
18,4277.86,1.50056,1.01597,1.19603,0.70289,0.67937,0.73191,0.43292,1.30626,0.80356,1.07658,0.000931067,0.000931067,0.000931067
19,4513.32,1.48595,1.00129,1.18287,0.69579,0.67883,0.7344,0.44229,1.2932,0.80881,1.065,0.000922942,0.000922942,0.000922942
20,4748.07,1.46038,0.98217,1.16783,0.71774,0.68739,0.74488,0.4517,1.28015,0.78018,1.0676,0.000914405,0.000914405,0.000914405
21,4983.34,1.43454,0.95814,1.15785,0.73375,0.6658,0.73868,0.45066,1.23835,0.78627,1.04819,0.000905463,0.000905463,0.000905463
22,5218.25,1.41767,0.93849,1.15243,0.74166,0.71601,0.77395,0.47552,1.21669,0.74123,1.03097,0.000896127,0.000896127,0.000896127
23,5453.44,1.41056,0.93164,1.14918,0.73874,0.71605,0.78228,0.4809,1.23621,0.73218,1.04036,0.000886404,0.000886404,0.000886404
24,5689.48,1.39754,0.91409,1.13326,0.76262,0.7213,0.78335,0.48793,1.19173,0.71384,1.02813,0.000876305,0.000876305,0.000876305
25,5924.21,1.39848,0.91366,1.14158,0.79103,0.72159,0.80142,0.49633,1.20353,0.70078,1.02634,0.000865839,0.000865839,0.000865839
26,6159.56,1.35849,0.88725,1.12405,0.77467,0.71109,0.78838,0.48963,1.23466,0.72343,1.0349,0.000855018,0.000855018,0.000855018
27,6395.17,1.35508,0.87902,1.12176,0.77907,0.74074,0.80973,0.51294,1.14235,0.68141,1.00209,0.000843851,0.000843851,0.000843851
28,6630.35,1.33197,0.86094,1.11313,0.79351,0.74748,0.82153,0.53556,1.09354,0.65026,0.98544,0.000832349,0.000832349,0.000832349
29,6866.97,1.32149,0.85156,1.10372,0.79396,0.73485,0.81553,0.52451,1.11671,0.6664,0.98816,0.000820525,0.000820525,0.000820525
30,7102.04,1.30455,0.83454,1.10027,0.80626,0.75856,0.83433,0.53892,1.11564,0.63489,0.98749,0.000808389,0.000808389,0.000808389
31,7338.1,1.2988,0.8313,1.09457,0.8046,0.74582,0.82195,0.52891,1.11325,0.65604,0.98796,0.000795954,0.000795954,0.000795954
32,7572.95,1.26193,0.80758,1.07904,0.83345,0.76514,0.84564,0.55229,1.07645,0.61596,0.97271,0.000783231,0.000783231,0.000783231
33,7806.95,1.27548,0.81283,1.08658,0.83799,0.76606,0.85378,0.55696,1.10209,0.61132,0.98115,0.000770234,0.000770234,0.000770234
34,8041.6,1.25711,0.79611,1.07298,0.85068,0.76284,0.85055,0.56541,1.04895,0.598,0.96338,0.000756976,0.000756976,0.000756976
35,8274.81,1.24943,0.7839,1.06871,0.84717,0.79146,0.86569,0.57263,1.06424,0.58687,0.96851,0.000743468,0.000743468,0.000743468
36,8505.17,1.21454,0.76027,1.05904,0.83386,0.78318,0.86302,0.57708,1.01413,0.5835,0.95023,0.000729725,0.000729725,0.000729725
37,8736.13,1.22202,0.76347,1.06516,0.86056,0.78302,0.86876,0.58223,1.00988,0.57254,0.94975,0.000715761,0.000715761,0.000715761
