Model,ConfThresh,Precision,Recall
teacher,0.25,0.0637,1.0000
teacher,0.30,0.0668,1.0000
teacher,0.35,0.0699,1.0000
teacher,0.40,0.0730,1.0000
teacher,0.45,0.0764,1.0000
teacher,0.50,0.0802,1.0000
teacher,0.55,0.0843,1.0000
teacher,0.60,0.0892,1.0000
teacher,0.65,0.0960,1.0000
small_baseline,0.25,0.0649,1.0000
small_baseline,0.30,0.0697,1.0000
small_baseline,0.35,0.0744,1.0000
small_baseline,0.40,0.0791,1.0000
small_baseline,0.45,0.0843,1.0000
small_baseline,0.50,0.0902,1.0000
small_baseline,0.55,0.0965,1.0000
small_baseline,0.60,0.1039,1.0000
small_baseline,0.65,0.1140,1.0000
small_feature_kd,0.25,0.0649,1.0000
small_feature_kd,0.30,0.0697,1.0000
small_feature_kd,0.35,0.0744,1.0000
small_feature_kd,0.40,0.0791,1.0000
small_feature_kd,0.45,0.0843,1.0000
small_feature_kd,0.50,0.0902,1.0000
small_feature_kd,0.55,0.0965,1.0000
small_feature_kd,0.60,0.1039,1.0000
small_feature_kd,0.65,0.1140,1.0000
nano_baseline,0.25,0.0650,1.0000
nano_baseline,0.30,0.0728,1.0000
nano_baseline,0.35,0.0809,1.0000
nano_baseline,0.40,0.0893,1.0000
nano_baseline,0.45,0.0991,1.0000
nano_baseline,0.50,0.1103,1.0000
nano_baseline,0.55,0.1236,1.0000
nano_baseline,0.60,0.1401,1.0000
nano_baseline,0.65,0.1634,0.9975
