Model,Altitude_m,mAP50,FlightTime_min,CoveragePercent
teacher,10,0.7207,6.60,11.76
teacher,15,0.7859,5.17,17.46
teacher,20,0.7734,3.97,21.72
teacher,25,0.7202,3.11,26.25
teacher,30,0.5921,3.29,33.66
small_baseline,10,0.6553,6.60,11.76
small_baseline,15,0.7138,5.17,17.46
small_baseline,20,0.6847,3.97,21.72
small_baseline,25,0.6186,3.11,26.25
small_baseline,30,0.5047,3.29,33.66
nano_baseline,10,0.5808,6.60,11.76
nano_baseline,15,0.6080,5.17,17.46
nano_baseline,20,0.5582,3.97,21.72
nano_baseline,25,0.4916,3.11,26.25
nano_baseline,30,0.4162,3.29,33.66
nano_feature_kd,10,0.5551,6.60,11.76
nano_feature_kd,15,0.5894,5.17,17.46
nano_feature_kd,20,0.5506,3.97,21.72
nano_feature_kd,25,0.4857,3.11,26.25
nano_feature_kd,30,0.4089,3.29,33.66
small_feature_kd,10,0.6553,6.60,11.76
small_feature_kd,15,0.7138,5.17,17.46
small_feature_kd,20,0.6847,3.97,21.72
small_feature_kd,25,0.6186,3.11,26.25
small_feature_kd,30,0.5047,3.29,33.66
nano_pseudo_kd,10,0.5527,6.60,11.76
nano_pseudo_kd,15,0.5878,5.17,17.46
nano_pseudo_kd,20,0.5477,3.97,21.72
nano_pseudo_kd,25,0.4892,3.11,26.25
nano_pseudo_kd,30,0.4074,3.29,33.66
small_pseudo_kd,10,0.6700,6.60,11.76
small_pseudo_kd,15,0.7078,5.17,17.46
small_pseudo_kd,20,0.6723,3.97,21.72
small_pseudo_kd,25,0.6074,3.11,26.25
small_pseudo_kd,30,0.4937,3.29,33.66
