Model,Altitude,mAP50,CoveragePercent,MissedPerHa,BatteryCycles
teacher,10,0.7207,12.00,0.00,1
teacher,15,0.7859,17.10,0.00,1
teacher,20,0.7734,24.00,0.00,1
teacher,25,0.7202,30.00,0.00,1
teacher,30,0.5921,34.56,0.00,1
small_baseline,10,0.6553,12.00,0.00,1
small_baseline,15,0.7138,17.10,0.00,1
small_baseline,20,0.6847,24.00,0.00,1
small_baseline,25,0.6186,30.00,0.00,1
small_baseline,30,0.5047,34.56,0.00,1
nano_baseline,10,0.5808,12.00,0.00,1
nano_baseline,15,0.6080,17.10,0.00,1
nano_baseline,20,0.5582,24.00,0.00,1
nano_baseline,25,0.4916,30.00,0.00,1
nano_baseline,30,0.4162,34.56,0.00,1
nano_feature_kd,10,0.5551,12.00,0.00,1
nano_feature_kd,15,0.5894,17.10,0.00,1
nano_feature_kd,20,0.5506,24.00,0.00,1
nano_feature_kd,25,0.4857,30.00,0.00,1
nano_feature_kd,30,0.4089,34.56,0.00,1
small_feature_kd,10,0.6553,12.00,0.00,1
small_feature_kd,15,0.7138,17.10,0.00,1
small_feature_kd,20,0.6847,24.00,0.00,1
small_feature_kd,25,0.6186,30.00,0.00,1
small_feature_kd,30,0.5047,34.56,0.00,1
nano_pseudo_kd,10,0.5527,12.00,0.00,1
nano_pseudo_kd,15,0.5878,17.10,0.00,1
nano_pseudo_kd,20,0.5477,24.00,0.00,1
nano_pseudo_kd,25,0.4892,30.00,0.00,1
nano_pseudo_kd,30,0.4074,34.56,0.00,1
small_pseudo_kd,10,0.6700,12.00,0.00,1
small_pseudo_kd,15,0.7078,17.10,0.00,1
small_pseudo_kd,20,0.6723,24.00,0.00,1
small_pseudo_kd,25,0.6074,30.00,0.00,1
small_pseudo_kd,30,0.4937,34.56,0.00,1
